record_id,session_name,group,speed_setting,penetration_depth,entry_angle,scooped_mass,speed_setting_source,speed_proxy_joint_activity,speed_proxy_tcp_linear_activity,speed_proxy_tcp_angular_activity
aug_012,synthetic_session_012,,0.466554,27.591616,42.490915,377.956611,response_surface_augmented_design_variable,,,
aug_013,synthetic_session_013,,0.584505,37.391383,52.607587,307.645775,response_surface_augmented_design_variable,,,
aug_014,synthetic_session_014,,0.835036,21.319343,43.215162,243.525715,response_surface_augmented_design_variable,,,
aug_015,synthetic_session_015,,0.376929,30.766413,43.612733,418.482772,response_surface_augmented_design_variable,,,
aug_016,synthetic_session_016,,0.361703,24.327191,37.389631,349.220872,response_surface_augmented_design_variable,,,
aug_017,synthetic_session_017,,0.32461,31.62661,55.254907,255.124736,response_surface_augmented_design_variable,,,
aug_018,synthetic_session_018,,0.729889,26.030186,27.804561,360.198545,response_surface_augmented_design_variable,,,
aug_019,synthetic_session_019,,0.335233,29.672047,32.592102,388.219346,response_surface_augmented_design_variable,,,
aug_020,synthetic_session_020,,0.416455,27.115428,26.252133,406.467241,response_surface_augmented_design_variable,,,
aug_021,synthetic_session_021,,0.592414,38.093542,57.182274,243.207826,response_surface_augmented_design_variable,,,
aug_022,synthetic_session_022,,0.282876,23.005922,51.076429,257.240436,response_surface_augmented_design_variable,,,
aug_023,synthetic_session_023,,0.228841,36.268032,30.732659,305.721385,response_surface_augmented_design_variable,,,
aug_024,synthetic_session_024,,0.470139,28.447886,39.226664,430.951003,response_surface_augmented_design_variable,,,
aug_025,synthetic_session_025,,0.889387,20.16787,59.963204,17.212261,response_surface_augmented_design_variable,,,
aug_026,synthetic_session_026,,0.490419,36.745918,47.578595,341.895345,response_surface_augmented_design_variable,,,
aug_027,synthetic_session_027,,0.929396,25.90534,20.842397,238.400018,response_surface_augmented_design_variable,,,
aug_028,synthetic_session_028,,0.547992,22.974828,45.137845,346.430998,response_surface_augmented_design_variable,,,
aug_029,synthetic_session_029,,0.451907,33.26345,54.080445,313.885846,response_surface_augmented_design_variable,,,
aug_030,synthetic_session_030,,0.355829,32.74969,24.45696,368.424241,response_surface_augmented_design_variable,,,
aug_031,synthetic_session_031,,0.387115,32.351675,36.159299,440.478146,response_surface_augmented_design_variable,,,
aug_032,synthetic_session_032,,0.500113,24.966268,47.283907,358.08004,response_surface_augmented_design_variable,,,
aug_033,synthetic_session_033,,0.762987,35.551117,34.369444,384.137614,response_surface_augmented_design_variable,,,
aug_034,synthetic_session_034,,0.873661,35.197989,31.741811,319.096112,response_surface_augmented_design_variable,,,
aug_035,synthetic_session_035,,0.743024,26.618577,55.882348,320.570743,response_surface_augmented_design_variable,,,
aug_036,synthetic_session_036,,0.279135,36.621744,20.658995,276.289093,response_surface_augmented_design_variable,,,
aug_037,synthetic_session_037,,0.600494,34.720726,45.512318,402.208835,response_surface_augmented_design_variable,,,
aug_038,synthetic_session_038,,0.657182,38.945779,40.444509,341.369913,response_surface_augmented_design_variable,,,
aug_039,synthetic_session_039,,0.98207,28.283211,27.2313,262.88844,response_surface_augmented_design_variable,,,
aug_040,synthetic_session_040,,0.522063,26.73212,53.307691,370.511801,response_surface_augmented_design_variable,,,
aug_041,synthetic_session_041,,0.900115,29.266513,23.741514,287.744926,response_surface_augmented_design_variable,,,
aug_042,synthetic_session_042,,0.413097,31.766901,32.990384,412.770573,response_surface_augmented_design_variable,,,
aug_043,synthetic_session_043,,0.225165,27.751836,28.889127,362.136819,response_surface_augmented_design_variable,,,
aug_044,synthetic_session_044,,0.840349,29.583491,49.267694,342.441652,response_surface_augmented_design_variable,,,
aug_045,synthetic_session_045,,0.633983,33.88553,46.373769,397.303268,response_surface_augmented_design_variable,,,
aug_046,synthetic_session_046,,0.966064,24.454064,51.838267,190.161952,response_surface_augmented_design_variable,,,
aug_047,synthetic_session_047,,0.941925,32.060385,35.113495,305.210578,response_surface_augmented_design_variable,,,
aug_048,synthetic_session_048,,0.679336,28.880416,22.477589,402.925305,response_surface_augmented_design_variable,,,
aug_049,synthetic_session_049,,0.818202,22.026017,22.754433,222.719712,response_surface_augmented_design_variable,,,
aug_050,synthetic_session_050,,0.68596,39.550221,25.415794,314.438925,response_surface_augmented_design_variable,,,
aug_051,synthetic_session_051,,0.310194,31.009669,56.498364,249.697893,response_surface_augmented_design_variable,,,
aug_052,synthetic_session_052,,0.243514,35.702721,49.649636,256.672129,response_surface_augmented_design_variable,,,
aug_053,synthetic_session_053,,0.20529,23.380937,28.022058,318.354903,response_surface_augmented_design_variable,,,
aug_054,synthetic_session_054,,0.759709,21.618794,44.231281,323.682468,response_surface_augmented_design_variable,,,
aug_055,synthetic_session_055,,0.613763,39.216499,58.114549,241.992022,response_surface_augmented_design_variable,,,
aug_056,synthetic_session_056,,0.855977,33.664555,53.743465,300.559884,response_surface_augmented_design_variable,,,
aug_057,synthetic_session_057,,0.29954,30.39566,29.432119,389.592253,response_surface_augmented_design_variable,,,
aug_058,synthetic_session_058,,0.512224,34.081462,39.764842,423.611069,response_surface_augmented_design_variable,,,
aug_059,synthetic_session_059,,0.653019,38.521119,37.320975,373.48487,response_surface_augmented_design_variable,,,
aug_060,synthetic_session_060,,0.694198,37.852186,33.914927,356.839784,response_surface_augmented_design_variable,,,
aug_061,synthetic_session_061,,0.46189,35.623078,59.402177,208.035654,response_surface_augmented_design_variable,,,
aug_062,synthetic_session_062,,0.91506,20.823217,20.0,163.136066,response_surface_augmented_design_variable,,,
aug_063,synthetic_session_063,,1.0,40.0,58.569393,85.390469,response_surface_augmented_design_variable,,,
aug_064,synthetic_session_064,,0.530676,33.133555,48.357785,416.446245,response_surface_augmented_design_variable,,,
aug_065,synthetic_session_065,,0.305624,20.0,20.0,245.642789,response_surface_augmented_design_variable,,,
aug_066,synthetic_session_066,,0.2,22.396605,28.302601,246.675065,response_surface_augmented_design_variable,,,
aug_067,synthetic_session_067,,0.958237,37.498874,57.261676,191.773565,response_surface_augmented_design_variable,,,
aug_068,synthetic_session_068,,0.5066,30.950947,44.738684,389.877186,response_surface_augmented_design_variable,,,
aug_069,synthetic_session_069,,0.859596,40.0,55.44852,190.096977,response_surface_augmented_design_variable,,,
aug_070,synthetic_session_070,,0.841262,40.0,60.0,153.793602,response_surface_augmented_design_variable,,,
aug_071,synthetic_session_071,,0.344844,40.0,58.960218,106.72737,response_surface_augmented_design_variable,,,
aug_072,synthetic_session_072,,0.2,21.297696,22.700151,277.050474,response_surface_augmented_design_variable,,,
aug_073,synthetic_session_073,,0.83142,36.060239,54.263662,293.463723,response_surface_augmented_design_variable,,,
aug_074,synthetic_session_074,,0.389215,26.973994,38.470548,403.345295,response_surface_augmented_design_variable,,,
aug_075,synthetic_session_075,,0.990555,40.0,60.0,111.808524,response_surface_augmented_design_variable,,,
aug_076,synthetic_session_076,,0.2,21.108998,21.664802,265.997561,response_surface_augmented_design_variable,,,
aug_077,synthetic_session_077,,0.287942,32.132468,37.231047,397.748425,response_surface_augmented_design_variable,,,
aug_078,synthetic_session_078,,0.272505,40.0,58.969457,43.24041,response_surface_augmented_design_variable,,,
aug_079,synthetic_session_079,,0.816265,40.0,60.0,161.981702,response_surface_augmented_design_variable,,,
aug_080,synthetic_session_080,,0.655533,33.089336,39.56612,428.370003,response_surface_augmented_design_variable,,,
aug_081,synthetic_session_081,,0.951642,38.433339,60.0,144.046981,response_surface_augmented_design_variable,,,
aug_082,synthetic_session_082,,1.0,38.408332,56.0286,168.526462,response_surface_augmented_design_variable,,,
aug_083,synthetic_session_083,,0.595294,29.991747,38.871484,440.745059,response_surface_augmented_design_variable,,,
aug_084,synthetic_session_084,,0.8402,40.0,60.0,168.65797,response_surface_augmented_design_variable,,,
aug_085,synthetic_session_085,,0.287603,29.240277,43.842472,322.913699,response_surface_augmented_design_variable,,,
aug_086,synthetic_session_086,,0.244171,20.0,25.400451,328.825286,response_surface_augmented_design_variable,,,
aug_087,synthetic_session_087,,0.825252,40.0,60.0,176.261701,response_surface_augmented_design_variable,,,
aug_088,synthetic_session_088,,0.80822,37.844255,55.248523,235.285268,response_surface_augmented_design_variable,,,
aug_089,synthetic_session_089,,0.269004,20.0,20.0,254.390534,response_surface_augmented_design_variable,,,
aug_090,synthetic_session_090,,0.853919,20.0,26.365852,177.122903,response_surface_augmented_design_variable,,,
aug_091,synthetic_session_091,,0.973258,20.0,20.0,36.554012,response_surface_augmented_design_variable,,,
aug_092,synthetic_session_092,,0.325448,40.0,51.000985,258.158249,response_surface_augmented_design_variable,,,
